Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name
T.Jones u11.5 Pts,itsbucketsnba_duplicate,San Antonio Spurs,Atlanta Hawks,1.0,1.0,1,1.0,1,1.0,1,-122.0,1.5,2.729508196721312,1.2295081967213113,T.Jones
M.Porter o7.5 Rebs+Ast,CeeJPicks,Denver Nuggets,Portland Trail Blazers,0.0,0.875,1,1.0,1,1.0,1,-135.0,1.35,2.35,1.0,M.Porter
C.Braun o15.5 Pts+Rebs,Rotowire Prizepicks,Denver Nuggets,Portland Trail Blazers,0.0,0.8260869565217391,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5,C.Braun
I.Hartenstein o24.5 Pts+Rebs+Ast,Rotowire Prizepicks,Oklahoma City Thunder,Orlando Magic,0.0,0.8,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,I.Hartenstein
C.Braun o16.5 Pts+Rebs,Rotowire Prizepicks,Denver Nuggets,Portland Trail Blazers,0.0,0.782608695652174,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,C.Braun
M.Bridges o18.5 Pts+Rebs,Rotowire Sleeper_duplicate,Charlotte Hornets,Washington Wizards,0.0,0.7692307692307693,1,1.0,1,0.7,1,100.0,1.5,3.0,1.5,M.Bridges
M.Porter o17.5 Pts+Ast,Rotowire Prizepicks,Denver Nuggets,Portland Trail Blazers,0.0,0.75,1,0.6,1,0.8,1,100.0,1.5,3.0,1.5,M.Porter
I.Zubac o26.5 Pts+Rebs+Ast,CeeJPicks,Los Angeles Clippers,Dallas Mavericks,0.0,0.7407407407407407,1,0.6,1,0.7,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,I.Zubac
K.Caldwell-Pope u13.5 Pts+Rebs+Ast,allanlemdfs,Orlando Magic,Oklahoma City Thunder,1.0,0.7407407407407407,1,1.0,1,0.7,1,-125.0,0.63,1.134,0.5040000000000001,K.Caldwell-Pope
J.Suggs u19.5 Pts,Mjaybrxd,Orlando Magic,Oklahoma City Thunder,1.0,0.7037037037037037,1,0.4,0,0.6,1,-110.0,0.5,0.9545454545454546,0.4545454545454546,J.Suggs
J.Suggs u20.5 Pts,sandyplashkes,Orlando Magic,Oklahoma City Thunder,1.0,0.7037037037037037,1,0.4,0,0.6,1,-125.0,1.25,2.25,1.0,J.Suggs
C.Carrington o15.5 Pts+Rebs+Ast,Rotowire Sleeper,Washington Wizards,Charlotte Hornets,1.0,0.6666666666666666,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,C.Carrington
J.Green u14.5 Pts+Rebs+Ast,gneiffer07_duplicate,Charlotte Hornets,Washington Wizards,0.0,0.6666666666666666,1,0.6,1,0.6,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,J.Green
D.Ayton o23.5 Pts+Rebs+Ast,Rotowire Sleeper,Portland Trail Blazers,Denver Nuggets,1.0,0.6470588235294118,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,D.Ayton
D.Ayton o22.5 Pts+Rebs,Rotowire Sleeper,Portland Trail Blazers,Denver Nuggets,1.0,0.6470588235294118,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5,D.Ayton
M.Bridges o18.5 Pts+Rebs,Rotowire Sleeper_duplicate,New York Knicks,Minnesota Timberwolves,0.0,0.6153846153846154,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5,M.Bridges
K.Thompson u16.5 Pts,Mjaybrxd,Dallas Mavericks,Los Angeles Clippers,1.0,0.5909090909090909,1,0.4,0,0.6,1,-120.0,1.0,1.8333333333333333,0.8333333333333335,K.Thompson
N.Reid o10.5 Pts,RoyalsProps,Minnesota Timberwolves,New York Knicks,1.0,0.56,1,0.0,0,0.2,0,-115.0,1.15,2.1499999999999995,0.9999999999999996,N.Reid
S.Sharpe o18.5 Pts+Rebs,Rotowire Prizepicks,Portland Trail Blazers,Denver Nuggets,1.0,0.5555555555555556,1,0.4,0,0.6,1,100.0,1.5,3.0,1.5,S.Sharpe
I.Zubac o14.5 Pts,FirefighterBets,Los Angeles Clippers,Dallas Mavericks,0.0,0.5555555555555556,1,0.4,0,0.6,1,-110.0,1.0,1.9090909090909087,0.9090909090909092,I.Zubac
D.Vassell o17.5 Pts+Rebs,Rotowire Sleeper,San Antonio Spurs,Atlanta Hawks,1.0,0.5454545454545454,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5,D.Vassell
G.Bitadze u22.5 Pts+Rebs+Ast,gneiffer07,Orlando Magic,Oklahoma City Thunder,1.0,0.5217391304347826,1,0.6,1,0.6,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,G.Bitadze
S.Sharpe o17.5 Pts+Ast,Rotowire Sleeper,Portland Trail Blazers,Denver Nuggets,1.0,0.5,0,0.2,0,0.5,0,100.0,1.5,3.0,1.5,S.Sharpe
J.Tatum o36.5 Pts+Rebs,the_degenerates,Boston Celtics,Chicago Bulls,1.0,0.5,0,0.6,1,0.5,0,-107.0,1.07,2.0700000000000003,1.0000000000000002,J.Tatum
T.Jones o6.5 Ast,TopShelfAction_duplicate,Phoenix Suns,Indiana Pacers,1.0,0.48,0,0.2,0,0.4,0,105.0,0.5,1.025,0.5249999999999999,T.Jones
